# salience_rank	word	lift_rank	zipf	salience	lift	tf	idf	z_eff
# salience = 100 * sqrt(tf * idf); tf = norm(log10 modelled lift), idf = norm(8 - z_eff)
# z_eff = zipf, minus 1.5 if hyphenated, floored at 0.8 when wordfreq does not know the word
# scan.sh reads columns 1, 2 and 5; the rest show the working
# regenerate: uv run --with wordfreq --python 3.12 tools/rescore.py
313	planted	266	4.04	27.5	7.4	0.192	0.393	4.04
314	froze	358	3.42	27.5	6.8	0.149	0.509	3.42
315	overstated	420	2.93	27.5	6.5	0.126	0.601	2.93
316	hiccup	421	2.91	27.5	6.5	0.125	0.605	2.91
317	standing	115	4.86	27.4	9.6	0.313	0.240	4.86
318	proved	188	4.48	27.4	8.2	0.242	0.311	4.48
319	diverges	480	2.37	27.4	6.2	0.106	0.706	2.37
320	gained	189	4.49	27.3	8.2	0.241	0.309	4.49
321	orthogonal	419	2.98	27.3	6.5	0.126	0.592	2.98
322	re-pointed	429	4.39	27.3	6.4	0.123	0.609	2.89
323	settled	201	4.44	27.2	8.1	0.232	0.318	4.44
324	flagged	382	3.31	27.2	6.7	0.139	0.530	3.31
325	pays	236	4.26	27.1	7.7	0.209	0.352	4.26
326	neighbours	302	3.87	27.1	7.2	0.173	0.425	3.87
327	round-1	346	5.08	27.1	6.9	0.154	0.479	3.58
328	400s	601	0.80	27.1	5.8	0.074	1.000	0.80
329	drove	220	4.36	27.0	7.9	0.219	0.333	4.36
330	priced	289	3.97	27.0	7.3	0.180	0.406	3.97
331	sanctioned	343	3.62	27.0	6.9	0.155	0.472	3.62
332	discarded	350	3.59	26.9	6.8	0.152	0.478	3.59
333	reconciles	501	2.27	26.9	6.2	0.100	0.725	2.27
334	harmless	323	3.79	26.8	7.0	0.164	0.440	3.79
335	replayed	452	2.80	26.8	6.3	0.115	0.625	2.80
336	leg	170	4.66	26.7	8.5	0.257	0.277	4.66
337	walks	235	4.32	26.7	7.7	0.210	0.341	4.32
338	drives	242	4.28	26.7	7.6	0.205	0.348	4.28
339	bare	262	4.18	26.7	7.5	0.194	0.367	4.18
340	widened	391	3.35	26.7	6.6	0.136	0.522	3.35
341	double-count	422	4.61	26.6	6.5	0.125	0.567	3.11
342	converges	477	2.62	26.6	6.2	0.107	0.659	2.62
343	twin	238	4.34	26.5	7.7	0.208	0.337	4.34
344	flipping	365	3.57	26.5	6.8	0.146	0.481	3.57
345	faithfully	406	3.27	26.5	6.6	0.130	0.537	3.27
346	steer	345	3.72	26.4	6.9	0.154	0.453	3.72
347	nine	134	4.87	26.3	9.1	0.291	0.238	4.87
348	sitting	139	4.86	26.2	9.0	0.286	0.240	4.86
349	fires	276	4.17	26.2	7.4	0.186	0.369	4.17
350	flipped	363	3.65	26.2	6.8	0.147	0.466	3.65
351	repointing	586	1.39	26.2	5.9	0.077	0.890	1.39
352	axioms	465	2.85	26.1	6.3	0.111	0.616	2.85
353	alone	79	5.16	26.0	10.7	0.367	0.184	5.16
354	consequence	300	4.07	26.0	7.2	0.174	0.388	4.07
355	differing	373	3.61	26.0	6.7	0.143	0.474	3.61
356	alike	292	4.13	25.9	7.2	0.178	0.376	4.13
357	gated	427	3.23	25.9	6.5	0.123	0.545	3.23
358	stamping	433	3.18	25.9	6.4	0.121	0.554	3.18
359	unfixed	545	2.05	25.9	6.0	0.088	0.766	2.05
360	threw	231	4.46	25.8	7.8	0.212	0.315	4.46
361	routinely	364	3.71	25.8	6.8	0.146	0.455	3.71
362	legs	190	4.67	25.7	8.2	0.240	0.275	4.67
363	benign	396	3.51	25.7	6.6	0.134	0.493	3.51
364	pre-refactor	635	1.88	25.6	5.7	0.066	1.000	0.80
365	fired	205	4.63	25.5	8.0	0.229	0.283	4.63
366	blind	227	4.52	25.5	7.8	0.215	0.303	4.52
367	re-running	413	4.93	25.5	6.5	0.128	0.507	3.43
368	misread	470	2.96	25.5	6.3	0.109	0.596	2.96
369	stayed	229	4.53	25.4	7.8	0.213	0.301	4.53
370	loser	328	4.01	25.4	7.0	0.161	0.399	4.01
371	crosses	352	3.86	25.4	6.8	0.151	0.427	3.86
372	judgement	356	3.86	25.3	6.8	0.150	0.427	3.86
373	substrate	388	3.64	25.3	6.6	0.137	0.468	3.64
374	recur	509	2.65	25.3	6.1	0.098	0.654	2.65
375	carry	153	4.89	25.2	8.8	0.272	0.234	4.89
376	somebody	173	4.80	25.2	8.5	0.254	0.251	4.80
377	neither	181	4.77	25.2	8.3	0.247	0.257	4.77
378	arriving	306	4.16	25.2	7.1	0.171	0.371	4.16
379	arrives	315	4.11	25.2	7.1	0.167	0.380	4.11
380	caught	154	4.90	25.1	8.8	0.271	0.232	4.90
381	keying	524	2.53	25.1	6.1	0.094	0.676	2.53
382	provable	531	2.48	25.1	6.0	0.092	0.685	2.48
383	claimed	216	4.64	25.0	7.9	0.222	0.281	4.64
384	sweeps	439	3.34	25.0	6.4	0.119	0.524	3.34
385	fold	330	4.08	24.9	7.0	0.160	0.386	4.08
386	dormant	432	3.41	24.9	6.4	0.122	0.511	3.41
387	mid-turn	458	4.70	24.9	6.3	0.113	0.551	3.20
388	distinguishable	498	2.87	24.9	6.2	0.101	0.612	2.87
389	round-trip	462	4.70	24.8	6.3	0.112	0.551	3.20
390	re-pin	514	4.23	24.8	6.1	0.096	0.639	2.73
391	escalated	435	3.44	24.7	6.4	0.121	0.506	3.44
392	reasoned	451	3.31	24.7	6.3	0.115	0.530	3.31
393	unreadable	529	2.62	24.7	6.1	0.092	0.659	2.62
394	demoted	488	3.04	24.6	6.2	0.104	0.581	3.04
395	mirroring	490	3.01	24.6	6.2	0.103	0.586	3.01
396	reworded	589	1.93	24.6	5.9	0.077	0.788	1.93
397	sixth	283	4.38	24.5	7.3	0.183	0.330	4.38
398	siblings	347	4.05	24.5	6.9	0.153	0.391	4.05
399	whole-branch	492	4.53	24.5	6.2	0.103	0.582	3.03
400	errored	643	1.18	24.4	5.7	0.064	0.929	1.18
